"hour","total_txns","fraud_txns","fraud_rate_pct"
0,"42502","635","1.494"
1,"42869","658","1.535"
2,"42656","625","1.465"
3,"42769","609","1.424"
4,"41863","46","0.110"
5,"42171","60","0.142"
6,"42300","40","0.095"
7,"42203","56","0.133"
8,"42505","49","0.115"
9,"42185","47","0.111"
10,"42271","40","0.095"
11,"42082","42","0.100"
12,"65257","67","0.103"
13,"65314","80","0.122"
14,"64885","86","0.133"
15,"65391","79","0.121"
16,"65726","76","0.116"
17,"65450","78","0.119"
18,"66051","81","0.123"
19,"65508","81","0.124"
20,"65098","62","0.095"
21,"65533","74","0.113"
22,"66982","1931","2.883"
23,"67104","1904","2.837"
